f1,f2,label
b,Y,1.0
a,Y,0.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
c,X,0.0
c,X,0.0
c,Y,1.0
c,Y,1.0
a,X,0.0
c,Y,1.0
a,X,0.0
a,X,0.0
a,X,0.0
a,X,0.0
a,X,0.0
c,Y,1.0
a,X,0.0
c,Y,1.0
c,X,0.0
c,X,0.0
b,Y,1.0
b,Y,1.0
c,X,0.0
c,X,0.0
a,Y,0.0
c,X,0.0
c,X,0.0
a,X,0.0
c,Y,1.0
a,X,0.0
b,X,1.0
c,Y,1.0
c,Y,1.0
c,X,0.0
c,Y,1.0
c,X,0.0
c,X,0.0
b,X,1.0
a,Y,0.0
a,X,0.0
c,X,0.0
b,X,1.0
c,X,0.0
a,Y,0.0
c,X,0.0
c,Y,1.0
b,X,1.0
c,X,0.0
a,Y,0.0
c,X,0.0
c,Y,1.0
a,Y,0.0
a,X,0.0
a,X,0.0
c,Y,1.0
c,Y,1.0
b,X,1.0
b,Y,1.0
b,X,1.0
c,Y,1.0
a,Y,0.0
c,Y,1.0
a,Y,0.0
c,Y,1.0
c,Y,1.0
c,X,0.0
c,X,0.0
a,X,0.0
c,X,0.0
a,X,0.0
b,Y,1.0
a,Y,0.0
c,X,0.0
a,Y,0.0
c,X,0.0
b,X,1.0
a,Y,0.0
b,X,1.0
b,Y,1.0
c,Y,1.0
b,X,1.0
c,X,0.0
c,X,0.0
c,X,0.0
c,X,0.0
c,X,0.0
b,Y,1.0
c,X,0.0
b,Y,1.0
a,Y,0.0
a,X,0.0
a,X,0.0
b,X,1.0
c,X,0.0
c,X,0.0
a,Y,0.0
a,Y,0.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
a,Y,0.0
a,X,0.0
c,Y,1.0
a,X,0.0
b,X,1.0
c,X,0.0
b,X,1.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
b,X,1.0
a,X,0.0
c,Y,1.0
c,X,0.0
c,X,0.0
b,X,1.0
a,X,0.0
c,Y,1.0
c,X,0.0
c,Y,1.0
a,X,0.0
c,Y,1.0
c,X,0.0
c,Y,1.0
a,X,0.0
c,Y,1.0
c,X,0.0
a,Y,0.0
b,X,1.0
c,X,0.0
b,X,1.0
c,Y,1.0
b,Y,1.0
c,X,0.0
a,X,0.0
c,Y,1.0
c,X,0.0
c,Y,1.0
c,X,0.0
b,X,1.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
b,X,1.0
b,X,1.0
a,Y,0.0
c,Y,1.0
a,Y,0.0
c,X,0.0
b,X,1.0
c,Y,1.0
a,Y,0.0
b,X,1.0
c,X,0.0
b,Y,1.0
c,X,0.0
b,Y,1.0
c,Y,1.0
a,X,0.0
b,X,1.0
c,X,0.0
c,X,0.0
c,X,0.0
a,Y,0.0
b,Y,1.0
c,X,0.0
c,X,0.0
c,Y,1.0
c,Y,1.0
b,Y,1.0
c,Y,1.0
b,X,1.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
a,Y,0.0
c,X,0.0
c,X,0.0
a,X,0.0
a,X,0.0
c,X,0.0
c,X,0.0
b,X,1.0
c,X,0.0
a,Y,0.0
c,X,0.0
c,X,0.0
c,X,0.0
c,Y,1.0
a,X,0.0
c,Y,1.0
c,X,0.0
a,Y,0.0
c,Y,1.0
b,Y,1.0
c,X,0.0
c,X,0.0
c,Y,1.0
a,Y,0.0
c,X,0.0
b,X,1.0
a,Y,0.0
a,Y,0.0
a,X,0.0
a,X,0.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
c,X,0.0
b,X,1.0
c,Y,1.0
a,X,0.0
a,X,0.0
a,X,0.0
b,Y,1.0
c,X,0.0
c,Y,1.0
c,X,0.0
a,X,0.0
b,Y,1.0
b,Y,1.0
c,X,0.0
c,Y,1.0
b,Y,1.0
b,Y,1.0
b,X,1.0
b,Y,1.0
a,Y,0.0
a,X,0.0
c,Y,1.0
a,X,0.0
c,Y,1.0
c,Y,1.0
c,X,0.0
c,X,0.0
a,X,0.0
c,X,0.0
c,X,0.0
c,X,0.0
c,X,0.0
a,X,0.0
a,Y,0.0
c,X,0.0
b,X,1.0
c,Y,1.0
c,X,0.0
a,Y,0.0
b,X,1.0
b,X,1.0
a,X,0.0
c,Y,1.0
a,X,0.0
b,Y,1.0
a,Y,0.0
c,X,0.0
c,Y,1.0
c,X,0.0
b,Y,1.0
c,X,0.0
c,X,0.0
c,X,0.0
b,X,1.0
c,Y,1.0
c,X,0.0
a,X,0.0
a,Y,0.0
c,X,0.0
a,X,0.0
a,X,0.0
c,X,0.0
c,X,0.0
c,Y,1.0
c,X,0.0
a,X,0.0
c,X,0.0
c,X,0.0
b,Y,1.0
b,X,1.0
b,X,1.0
a,X,0.0
c,X,0.0
a,Y,0.0
c,Y,1.0
c,Y,1.0
b,Y,1.0
c,X,0.0
c,Y,1.0
a,Y,0.0
c,Y,1.0
b,X,1.0
b,X,1.0
b,Y,1.0
b,X,1.0
b,Y,1.0
c,Y,1.0
c,X,0.0
c,Y,1.0
b,Y,1.0
b,Y,1.0
c,Y,1.0
b,X,1.0
c,Y,1.0
a,Y,0.0
a,X,0.0
a,X,0.0
c,X,0.0
c,X,0.0
b,X,1.0
b,Y,1.0
c,Y,1.0
c,X,0.0
a,X,0.0
c,Y,1.0
b,X,1.0
c,Y,1.0
a,Y,0.0
c,X,0.0
c,X,0.0
c,Y,1.0
c,Y,1.0
a,Y,0.0
a,Y,0.0
b,Y,1.0
a,X,0.0
b,Y,1.0
b,Y,1.0
b,Y,1.0
c,X,0.0
a,Y,0.0
a,Y,0.0
c,Y,1.0
a,X,0.0
c,X,0.0
b,Y,1.0
c,Y,1.0
c,X,0.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
b,X,1.0
a,Y,0.0
c,X,0.0
c,Y,1.0
c,Y,1.0
a,Y,0.0
c,X,0.0
c,Y,1.0
b,X,1.0
c,Y,1.0
c,Y,1.0
c,X,0.0
c,X,0.0
b,Y,1.0
b,X,1.0
a,X,0.0
c,Y,1.0
a,X,0.0
b,Y,1.0
a,X,0.0
c,Y,1.0
a,X,0.0
b,X,1.0
c,Y,1.0
a,Y,0.0
c,X,0.0
c,X,0.0
a,X,0.0
c,X,0.0
a,Y,0.0
c,X,0.0
b,Y,1.0
a,X,0.0
c,X,0.0
c,Y,1.0
c,X,0.0
c,Y,1.0
b,X,1.0
b,Y,1.0
c,X,0.0
c,X,0.0
c,X,0.0
b,X,1.0
c,X,0.0
c,X,0.0
c,Y,1.0
a,X,0.0
c,X,0.0
c,X,0.0
b,Y,1.0
a,X,0.0
a,Y,0.0
a,X,0.0
a,Y,0.0
c,Y,1.0
c,Y,1.0
a,Y,0.0
a,X,0.0
b,Y,1.0
b,X,1.0
c,Y,1.0
c,Y,1.0
b,Y,1.0
b,Y,1.0
a,Y,0.0
a,X,0.0
b,Y,1.0
c,X,0.0
c,X,0.0
c,X,0.0
c,X,0.0
a,Y,0.0
a,Y,0.0
b,Y,1.0
c,X,0.0
c,Y,1.0
a,X,0.0
a,Y,0.0
c,Y,1.0
a,Y,0.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
a,X,0.0
b,X,1.0
b,X,1.0
c,Y,1.0
a,X,0.0
b,X,1.0
b,X,1.0
b,Y,1.0
c,Y,1.0
c,X,0.0
c,Y,1.0
c,X,0.0
b,Y,1.0
a,Y,0.0
c,Y,1.0
c,Y,1.0
a,Y,0.0
c,Y,1.0
c,X,0.0
b,Y,1.0
b,X,1.0
c,Y,1.0
c,X,0.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
b,X,1.0
c,X,0.0
c,Y,1.0
b,Y,1.0
b,Y,1.0
c,Y,1.0
c,X,0.0
c,Y,1.0
b,X,1.0
a,Y,0.0
c,X,0.0
a,Y,0.0
c,X,0.0
c,Y,1.0
c,X,0.0
b,Y,1.0
c,X,0.0
c,Y,1.0
b,X,1.0
b,Y,1.0
c,Y,1.0
c,X,0.0
c,X,0.0
c,X,0.0
b,Y,1.0
c,X,0.0
a,Y,0.0
c,X,0.0
c,X,0.0
c,X,0.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
c,X,0.0
b,Y,1.0
a,X,0.0
c,Y,1.0
a,Y,0.0
c,X,0.0
b,X,1.0
c,Y,1.0
c,X,0.0
c,X,0.0
c,X,0.0
a,X,0.0
a,Y,0.0
b,Y,1.0
b,Y,1.0
c,Y,1.0
a,X,0.0
b,X,1.0
c,X,0.0
c,Y,1.0
a,X,0.0
a,X,0.0
a,X,0.0
b,X,1.0
c,X,0.0
c,Y,1.0
c,X,0.0
a,Y,0.0
c,Y,1.0
c,X,0.0
c,Y,1.0
c,Y,1.0
c,X,0.0
b,Y,1.0
a,X,0.0
b,Y,1.0
c,Y,1.0
b,X,1.0
a,X,0.0
c,X,0.0
c,Y,1.0
a,Y,0.0
c,Y,1.0
c,Y,1.0
c,X,0.0
c,Y,1.0
a,X,0.0
a,X,0.0
c,X,0.0
a,Y,0.0
b,Y,1.0
c,Y,1.0
c,X,0.0
b,Y,1.0
c,Y,1.0
a,X,0.0
c,X,0.0
c,Y,1.0
c,X,0.0
a,X,0.0
a,Y,0.0
c,X,0.0
a,Y,0.0
a,Y,0.0
c,Y,1.0
c,X,0.0
a,X,0.0
c,Y,1.0
b,Y,1.0
b,Y,1.0
c,Y,1.0
a,X,0.0
c,Y,1.0
c,Y,1.0
b,Y,1.0
c,X,0.0
a,X,0.0
b,Y,1.0
b,X,1.0
c,X,0.0
a,Y,0.0
a,X,0.0
b,Y,1.0
c,Y,1.0
c,X,0.0
a,X,0.0
c,X,0.0
c,Y,1.0
b,X,1.0
c,Y,1.0
a,X,0.0
a,X,0.0
c,Y,1.0
c,X,0.0
c,X,0.0
c,X,0.0
a,X,0.0
a,X,0.0
a,Y,0.0
a,Y,0.0
c,X,0.0
c,X,0.0
a,Y,0.0
a,X,0.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
b,Y,1.0
c,X,0.0
c,Y,1.0
b,Y,1.0
b,X,1.0
b,X,1.0
a,Y,0.0
a,Y,0.0
c,Y,1.0
c,X,0.0
a,X,0.0
c,X,0.0
a,X,0.0
b,Y,1.0
c,Y,1.0
c,X,0.0
c,Y,1.0
b,X,1.0
b,Y,1.0
c,X,0.0
c,X,0.0
a,X,0.0
a,X,0.0
a,Y,0.0
b,Y,1.0
b,X,1.0
c,Y,1.0
c,Y,1.0
c,X,0.0
c,X,0.0
b,X,1.0
a,X,0.0
c,X,0.0
c,Y,1.0
c,X,0.0
c,X,0.0
c,Y,1.0
b,Y,1.0
c,Y,1.0
c,X,0.0
c,X,0.0
c,Y,1.0
c,X,0.0
c,X,0.0
a,Y,0.0
b,X,1.0
a,X,0.0
a,Y,0.0
b,Y,1.0
c,X,0.0
c,Y,1.0
c,X,0.0
a,X,0.0
b,Y,1.0
c,X,0.0
c,X,0.0
c,Y,1.0
b,Y,1.0
c,X,0.0
b,Y,1.0
a,X,0.0
c,X,0.0
b,X,1.0
a,X,0.0
b,Y,1.0
b,X,1.0
a,Y,0.0
b,Y,1.0
a,X,0.0
c,Y,1.0
c,X,0.0
c,X,0.0
c,X,0.0
c,X,0.0
c,Y,1.0
a,X,0.0
a,X,0.0
b,Y,1.0
c,X,0.0
c,X,0.0
c,Y,1.0
b,Y,1.0
c,X,0.0
b,Y,1.0
b,Y,1.0
c,Y,1.0
b,Y,1.0
c,X,0.0
a,X,0.0
c,Y,1.0
b,Y,1.0
a,Y,0.0
c,X,0.0
c,X,0.0
b,X,1.0
a,X,0.0
a,Y,0.0
b,X,1.0
c,Y,1.0
c,X,0.0
a,X,0.0
b,X,1.0
a,Y,0.0
c,X,0.0
b,Y,1.0
a,Y,0.0
c,Y,1.0
b,Y,1.0
c,X,0.0
c,Y,1.0
b,X,1.0
a,Y,0.0
c,X,0.0
c,X,0.0
b,X,1.0
b,X,1.0
b,X,1.0
b,Y,1.0
c,X,0.0
a,X,0.0
a,X,0.0
c,X,0.0
a,Y,0.0
a,Y,0.0
c,X,0.0
a,X,0.0
b,Y,1.0
c,Y,1.0
c,X,0.0
c,X,0.0
c,X,0.0
c,X,0.0
c,Y,1.0
c,Y,1.0
a,X,0.0
c,Y,1.0
a,Y,0.0
c,X,0.0
a,X,0.0
b,X,1.0
c,Y,1.0
c,Y,1.0
b,X,1.0
a,Y,0.0
c,Y,1.0
c,X,0.0
a,X,0.0
c,X,0.0
c,X,0.0
c,Y,1.0
c,X,0.0
c,Y,1.0
b,Y,1.0
c,X,0.0
b,X,1.0
b,X,1.0
c,Y,1.0
c,X,0.0
c,Y,1.0
c,Y,1.0
c,X,0.0
a,Y,0.0
a,X,0.0
c,X,0.0
b,Y,1.0
c,Y,1.0
a,Y,0.0
a,Y,0.0
c,Y,1.0
c,Y,1.0
b,Y,1.0
c,Y,1.0
c,X,0.0
c,X,0.0
c,Y,1.0
b,X,1.0
b,Y,1.0
c,X,0.0
c,X,0.0
c,X,0.0
b,X,1.0
c,Y,1.0
b,Y,1.0
c,X,0.0
c,X,0.0
a,Y,0.0
c,Y,1.0
c,X,0.0
a,X,0.0
a,X,0.0
b,Y,1.0
b,X,1.0
c,Y,1.0
b,Y,1.0
c,Y,1.0
b,X,1.0
a,Y,0.0
c,X,0.0
c,Y,1.0
c,X,0.0
b,X,1.0
c,Y,1.0
a,Y,0.0
c,X,0.0
c,Y,1.0
a,Y,0.0
c,X,0.0
c,X,0.0
a,X,0.0
c,Y,1.0
c,Y,1.0
b,Y,1.0
c,Y,1.0
b,Y,1.0
c,X,0.0
c,X,0.0
c,Y,1.0
b,X,1.0
a,X,0.0
c,Y,1.0
c,X,0.0
b,X,1.0
a,X,0.0
a,X,0.0
c,Y,1.0
a,X,0.0
a,Y,0.0
a,X,0.0
c,Y,1.0
a,X,0.0
a,Y,0.0
a,Y,0.0
c,Y,1.0
c,Y,1.0
c,X,0.0
c,Y,1.0
b,X,1.0
a,Y,0.0
a,Y,0.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
b,Y,1.0
b,X,1.0
a,Y,0.0
a,Y,0.0
a,X,0.0
a,Y,0.0
a,X,0.0
c,Y,1.0
c,X,0.0
c,Y,1.0
b,Y,1.0
c,Y,1.0
b,Y,1.0
a,X,0.0
b,Y,1.0
b,Y,1.0
c,X,0.0
b,Y,1.0
c,Y,1.0
b,Y,1.0
a,X,0.0
a,Y,0.0
a,Y,0.0
c,X,0.0
c,Y,1.0
b,Y,1.0
b,X,1.0
b,Y,1.0
c,X,0.0
c,Y,1.0
a,Y,0.0
b,X,1.0
c,Y,1.0
b,X,1.0
a,X,0.0
a,X,0.0
a,X,0.0
a,X,0.0
b,Y,1.0
c,X,0.0
c,X,0.0
b,Y,1.0
b,X,1.0
b,Y,1.0
b,X,1.0
b,Y,1.0
c,X,0.0
a,X,0.0
a,Y,0.0
c,Y,1.0
c,X,0.0
a,Y,0.0
a,X,0.0
a,Y,0.0
c,X,0.0
c,X,0.0
c,Y,1.0
b,Y,1.0
c,Y,1.0
c,X,0.0
a,X,0.0
a,X,0.0
b,Y,1.0
c,X,0.0
c,Y,1.0
a,Y,0.0
c,X,0.0
c,X,0.0
c,X,0.0
c,X,0.0
c,Y,1.0
c,X,0.0
a,X,0.0
c,Y,1.0
a,X,0.0
c,Y,1.0
a,Y,0.0
b,Y,1.0
c,X,0.0
a,X,0.0
b,Y,1.0
b,Y,1.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
a,X,0.0
c,X,0.0
c,X,0.0
b,Y,1.0
b,Y,1.0
c,X,0.0
a,X,0.0
a,X,0.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
a,Y,0.0
a,X,0.0
b,X,1.0
c,X,0.0
c,Y,1.0
c,Y,1.0
c,X,0.0
c,X,0.0
a,Y,0.0
a,Y,0.0
c,X,0.0
c,X,0.0
c,X,0.0
c,X,0.0
c,X,0.0
a,X,0.0
a,X,0.0
a,X,0.0
b,X,1.0
c,Y,1.0
b,X,1.0
c,X,0.0
a,X,0.0
c,Y,1.0
c,Y,1.0
c,X,0.0
b,Y,1.0
a,Y,0.0
c,X,0.0
b,Y,1.0
c,Y,1.0
c,X,0.0
c,Y,1.0
c,Y,1.0
a,X,0.0
a,Y,0.0
c,X,0.0
c,Y,1.0
c,X,0.0
c,X,0.0
c,X,0.0
a,Y,0.0
b,X,1.0
c,Y,1.0
b,Y,1.0
c,X,0.0
b,X,1.0
c,Y,1.0
c,X,0.0
c,Y,1.0
c,X,0.0
b,X,1.0
c,Y,1.0
a,Y,0.0
c,Y,1.0
b,Y,1.0
b,Y,1.0
b,X,1.0
a,X,0.0
a,X,0.0
b,Y,1.0
c,X,0.0
a,Y,0.0
a,X,0.0
a,X,0.0
c,X,0.0
a,Y,0.0
a,X,0.0
c,Y,1.0
c,Y,1.0
a,Y,0.0
a,Y,0.0
c,X,0.0
c,Y,1.0
c,X,0.0
c,Y,1.0
c,X,0.0
a,X,0.0
b,X,1.0
b,Y,1.0
a,X,0.0
a,X,0.0
b,X,1.0
a,X,0.0
c,X,0.0
c,X,0.0
c,Y,1.0
c,X,0.0
c,X,0.0
c,X,0.0
c,Y,1.0
b,X,1.0
b,X,1.0
a,Y,0.0
b,X,1.0
b,Y,1.0
c,Y,1.0
a,X,0.0
a,X,0.0
c,Y,1.0
b,Y,1.0
c,Y,1.0
b,Y,1.0
a,X,0.0
c,Y,1.0
c,Y,1.0
a,X,0.0
a,Y,0.0
a,X,0.0
b,X,1.0
a,X,0.0
a,X,0.0
c,X,0.0
a,X,0.0
a,X,0.0
a,Y,0.0
a,X,0.0
a,X,0.0
c,Y,1.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
b,Y,1.0
c,Y,1.0
c,X,0.0
a,Y,0.0
c,X,0.0
c,X,0.0
b,Y,1.0
b,Y,1.0
c,X,0.0
c,X,0.0
c,Y,1.0
a,Y,0.0
a,X,0.0
a,Y,0.0
c,X,0.0
c,Y,1.0
c,Y,1.0
c,X,0.0
c,X,0.0
a,Y,0.0
b,X,1.0
b,Y,1.0
a,X,0.0
a,X,0.0
c,Y,1.0
b,Y,1.0
a,X,0.0
c,X,0.0
b,X,1.0
a,X,0.0
c,Y,1.0
b,Y,1.0
a,X,0.0
c,Y,1.0
b,X,1.0
a,Y,0.0
c,X,0.0
c,X,0.0
a,X,0.0
b,X,1.0
b,X,1.0
a,Y,0.0
c,X,0.0
b,X,1.0
c,X,0.0
c,Y,1.0
c,Y,1.0
c,X,0.0
c,Y,1.0
b,Y,1.0
c,Y,1.0
c,X,0.0
c,X,0.0
b,X,1.0
b,X,1.0
c,Y,1.0
c,Y,1.0
c,X,0.0
a,X,0.0
a,X,0.0
b,Y,1.0
c,Y,1.0
c,X,0.0
b,Y,1.0
c,Y,1.0
b,X,1.0
c,Y,1.0
a,Y,0.0
c,X,0.0
a,Y,0.0
a,Y,0.0
a,X,0.0
a,Y,0.0
b,X,1.0
b,Y,1.0
a,X,0.0
a,X,0.0
a,X,0.0
b,Y,1.0
c,X,0.0
c,X,0.0
c,Y,1.0
c,Y,1.0
a,Y,0.0
a,X,0.0
c,Y,1.0
b,X,1.0
c,X,0.0
c,Y,1.0
c,Y,1.0
b,Y,1.0
a,Y,0.0
a,X,0.0
a,Y,0.0
b,Y,1.0
c,Y,1.0
a,Y,0.0
a,Y,0.0
a,X,0.0
c,X,0.0
c,X,0.0
b,X,1.0
a,Y,0.0
b,Y,1.0
b,Y,1.0
b,Y,1.0
c,Y,1.0
a,Y,0.0
c,X,0.0
c,X,0.0
c,Y,1.0
a,X,0.0
c,Y,1.0
c,X,0.0
b,X,1.0
b,Y,1.0
c,X,0.0
b,Y,1.0
c,X,0.0
c,Y,1.0
a,Y,0.0
c,Y,1.0
a,X,0.0
a,Y,0.0
c,Y,1.0
c,X,0.0
c,Y,1.0
c,X,0.0
a,X,0.0
a,X,0.0
c,X,0.0
c,Y,1.0
a,X,0.0
c,Y,1.0
c,Y,1.0
a,X,0.0
c,Y,1.0
a,Y,0.0
b,Y,1.0
b,X,1.0
c,X,0.0
c,X,0.0
b,X,1.0
c,X,0.0
c,X,0.0
c,X,0.0
c,Y,1.0
c,Y,1.0
a,X,0.0
c,Y,1.0
a,X,0.0
a,X,0.0
c,Y,1.0
a,X,0.0
b,X,1.0
c,X,0.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
a,X,0.0
a,X,0.0
c,X,0.0
b,X,1.0
c,Y,1.0
c,Y,1.0
c,X,0.0
c,Y,1.0
a,Y,0.0
b,Y,1.0
b,X,1.0
b,Y,1.0
a,X,0.0
b,Y,1.0
a,X,0.0
b,X,1.0
b,Y,1.0
a,X,0.0
c,Y,1.0
c,X,0.0
c,Y,1.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
a,X,0.0
c,Y,1.0
a,X,0.0
c,X,0.0
b,Y,1.0
b,X,1.0
b,X,1.0
b,Y,1.0
a,X,0.0
b,X,1.0
c,Y,1.0
b,X,1.0
c,Y,1.0
b,Y,1.0
a,X,0.0
b,X,1.0
b,X,1.0
c,Y,1.0
c,Y,1.0
b,X,1.0
a,X,0.0
a,Y,0.0
c,X,0.0
c,X,0.0
c,Y,1.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
a,X,0.0
b,X,1.0
c,X,0.0
c,X,0.0
c,X,0.0
a,X,0.0
a,X,0.0
a,X,0.0
c,Y,1.0
c,X,0.0
c,Y,1.0
b,Y,1.0
b,Y,1.0
c,Y,1.0
c,X,0.0
a,X,0.0
b,Y,1.0
b,Y,1.0
b,X,1.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
c,X,0.0
c,X,0.0
c,Y,1.0
c,X,0.0
b,X,1.0
c,X,0.0
a,X,0.0
a,Y,0.0
c,Y,1.0
c,X,0.0
a,X,0.0
a,X,0.0
a,X,0.0
c,Y,1.0
a,X,0.0
a,Y,0.0
c,Y,1.0
c,X,0.0
a,Y,0.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
a,Y,0.0
a,Y,0.0
a,Y,0.0
c,Y,1.0
c,X,0.0
b,Y,1.0
a,Y,0.0
c,X,0.0
b,X,1.0
c,Y,1.0
b,X,1.0
c,X,0.0
c,X,0.0
a,Y,0.0
c,Y,1.0
c,Y,1.0
c,X,0.0
a,X,0.0
a,X,0.0
a,Y,0.0
b,X,1.0
c,X,0.0
b,X,1.0
c,X,0.0
a,X,0.0
c,Y,1.0
c,X,0.0
a,Y,0.0
a,Y,0.0
c,X,0.0
c,X,0.0
a,X,0.0
a,X,0.0
b,Y,1.0
b,Y,1.0
c,Y,1.0
a,Y,0.0
c,Y,1.0
b,Y,1.0
b,Y,1.0
b,X,1.0
c,X,0.0
c,Y,1.0
a,Y,0.0
c,Y,1.0
c,X,0.0
b,Y,1.0
b,X,1.0
b,X,1.0
b,Y,1.0
a,Y,0.0
b,X,1.0
a,X,0.0
c,X,0.0
c,X,0.0
c,Y,1.0
b,Y,1.0
b,X,1.0
c,X,0.0
c,X,0.0
b,Y,1.0
c,Y,1.0
c,X,0.0
a,Y,0.0
c,Y,1.0
b,X,1.0
b,X,1.0
c,X,0.0
a,Y,0.0
a,Y,0.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
b,Y,1.0
b,X,1.0
c,Y,1.0
c,X,0.0
c,X,0.0
a,X,0.0
a,X,0.0
a,X,0.0
a,X,0.0
b,X,1.0
a,Y,0.0
c,Y,1.0
a,Y,0.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
b,Y,1.0
a,X,0.0
a,Y,0.0
a,Y,0.0
c,X,0.0
a,X,0.0
c,Y,1.0
b,Y,1.0
c,Y,1.0
a,Y,0.0
c,X,0.0
a,Y,0.0
a,X,0.0
b,Y,1.0
b,X,1.0
c,X,0.0
a,X,0.0
c,Y,1.0
a,X,0.0
c,Y,1.0
a,X,0.0
c,Y,1.0
c,X,0.0
a,X,0.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
b,Y,1.0
b,Y,1.0
c,X,0.0
c,Y,1.0
c,Y,1.0
b,X,1.0
c,X,0.0
b,Y,1.0
c,X,0.0
c,Y,1.0
b,X,1.0
a,Y,0.0
c,X,0.0
c,Y,1.0
c,Y,1.0
b,Y,1.0
a,X,0.0
b,Y,1.0
c,X,0.0
c,X,0.0
a,X,0.0
c,X,0.0
b,X,1.0
b,Y,1.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
c,X,0.0
b,X,1.0
a,X,0.0
b,X,1.0
a,Y,0.0
b,Y,1.0
a,X,0.0
c,X,0.0
a,Y,0.0
b,X,1.0
b,Y,1.0
b,X,1.0
c,X,0.0
a,Y,0.0
b,Y,1.0
a,Y,0.0
c,Y,1.0
c,X,0.0
c,X,0.0
b,Y,1.0
c,Y,1.0
b,Y,1.0
c,X,0.0
b,X,1.0
a,Y,0.0
b,X,1.0
c,Y,1.0
b,X,1.0
c,X,0.0
c,X,0.0
b,X,1.0
a,Y,0.0
a,Y,0.0
a,Y,0.0
c,Y,1.0
a,Y,0.0
c,X,0.0
b,Y,1.0
c,X,0.0
c,Y,1.0
a,X,0.0
c,X,0.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
c,X,0.0
b,X,1.0
c,Y,1.0
c,X,0.0
a,Y,0.0
a,Y,0.0
b,Y,1.0
a,X,0.0
a,Y,0.0
a,X,0.0
b,Y,1.0
c,Y,1.0
b,X,1.0
c,Y,1.0
c,Y,1.0
b,X,1.0
a,X,0.0
a,X,0.0
b,X,1.0
a,X,0.0
c,Y,1.0
a,Y,0.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
b,Y,1.0
b,Y,1.0
c,Y,1.0
c,X,0.0
c,Y,1.0
c,X,0.0
c,Y,1.0
c,X,0.0
c,Y,1.0
a,X,0.0
c,Y,1.0
a,X,0.0
a,X,0.0
b,X,1.0
a,X,0.0
c,X,0.0
b,X,1.0
a,Y,0.0
b,Y,1.0
c,Y,1.0
b,X,1.0
a,Y,0.0
c,Y,1.0
b,Y,1.0
c,X,0.0
c,X,0.0
c,X,0.0
c,X,0.0
a,X,0.0
c,X,0.0
b,Y,1.0
c,X,0.0
c,Y,1.0
c,Y,1.0
b,X,1.0
c,Y,1.0
a,Y,0.0
c,X,0.0
a,X,0.0
a,Y,0.0
c,X,0.0
b,Y,1.0
b,X,1.0
a,X,0.0
c,Y,1.0
b,Y,1.0
a,X,0.0
c,X,0.0
b,Y,1.0
a,X,0.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
c,X,0.0
c,X,0.0
c,Y,1.0
c,X,0.0
c,Y,1.0
b,Y,1.0
c,Y,1.0
c,X,0.0
a,X,0.0
c,Y,1.0
b,Y,1.0
a,Y,0.0
a,X,0.0
c,Y,1.0
a,X,0.0
c,Y,1.0
c,Y,1.0
a,X,0.0
b,Y,1.0
a,Y,0.0
b,Y,1.0
c,X,0.0
c,X,0.0
a,X,0.0
b,Y,1.0
c,X,0.0
c,X,0.0
c,X,0.0
c,Y,1.0
c,X,0.0
c,Y,1.0
c,X,0.0
c,X,0.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
a,Y,0.0
c,X,0.0
c,Y,1.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
c,Y,1.0
c,X,0.0
a,X,0.0
c,Y,1.0
c,X,0.0
c,X,0.0
c,X,0.0
c,X,0.0
b,X,1.0
c,X,0.0
c,X,0.0
a,X,0.0
c,Y,1.0
b,X,1.0
b,Y,1.0
c,Y,1.0
c,Y,1.0
b,X,1.0
b,X,1.0
